"2";"Wound-healing complications following body contouring for massive weight loss patients are significant, with rates exceeding 40 percent. To better understand aberrant healing in this population, the authors have performed a comparative analysis of the wound milieu literature for patient populations with similar complication rates. PubMed and Ovid databases were reviewed from January of 1985 to January of 2009 for key terms, including wound healing, obesity, cancer, burn, transplant, and body contouring. Serum and wound levels of multiple factors, including matrix metalloproteinases (MMPs) and cytokines, were assessed. Complication rates in body contouring surgery range from 31 to 66 percent. Sixty-five studies were reviewed, and wound-healing complication rates were identified for cancer (45.8 percent), burn (30.4 percent), posttransplant (36 percent), and obese (43 percent) populations. In these groups, matrix metalloproteinases and tissue inhibitors of metalloproteinase (TIMPs) help regulate wound repair. Matrix metalloproteinase levels were elevated in cancer (4-fold increase in MMP-2), burn (20- to 30-fold increase in MMP-9), transplant (1.4-fold increase in MMP-2), and obese/chronic (79-fold increase) populations. TIMPs were increased in cancer (1.9-fold increase in TIMP-2) and burn (1.4-fold increase in TIMP-1) patients but decreased in chronic wound (55-fold decrease in TIMP-1) populations. Alterations to these regulatory proteins lead to prolonged matrix degradation, up-regulation of inflammatory mediators, and decreased growth factors, delaying the wound-healing process. Complications after body contouring surgery are likely multifactorial; however, molecular imbalances to the massive weight loss wound milieu may contribute to poor surgical outcomes. Examining wound regulatory proteins including transforming growth factor-beta, vascular endothelial growth factor, and matrix metalloproteinases could aid in understanding the healing difficulties observed clinically."
"3";"Laparoscopic adjustable gastric banding is growing in popularity in the United States. A rare late complication is obstruction at the level of the band, with concentric gastric pouch dilation. In our patient, endoscopy showed gastric pouch dilation with food impaction and a restricted outlet. We describe the combined endoscopic and laparoscopic approach for alleviation of chronic obstruction as a late complication of an adjustable gastric band. This combined approach included laparoscopic band removal and scar excision with intraoperative endoscopic dilation."
"2";"Obesity is a problem that is reaching epidemic proportions throughout the world and bariatric surgery is now a rapidly growing technique. However existence of obesity in humans has been recognized for thousands of years, as statues dating from the Stone Age period appear to provide the earliest depictions. Hippocrates (466-355 b.C.) and Galen (131-201 a.C.) had a clear understanding of the condition, its consequences and medical treatment. On the other hand bariatric surgery was a xx century treatment, but at the end of the xix century it was known that the massive loss of small bowel or gastric resection after ulcer surgery resulted in persistent weight loss. Malabsorption and gastric restriction in isolation, or more commonly in combination, remain the main options to surgical control of weight. Unfortunately surgery as a non etiological treatment is an imperfect model to treat an incurable disease: morbid obesity. Prevention and better knowledge of disease would allow a tailored medical or surgical approach."
"3";"Management of patients with total intestinal aganglionosis (TIA) is a medical challenge because of their dependency on parenteral nutrition (PN). Intestinal transplantation (ITx) represents the only alternative treatment for patients with irreversible intestinal failure for achieving intestinal autonomy. Among 66 patients who underwent ITx in our center, 12 had TIA. They received either isolated ITx (n = 4) or liver-ITx (LITx, n = 8) after 10 to 144 months of total PN. All grafts included the right colon. After a median follow-up of 57 months, the survival rate was 62.5% in the LITx group and 100% in the ITx patients. The graft survival rate was 62.5% in the LITx group and 75% in the ITx group. All the surviving patients were fully weaned from total PN, after a median of 57 days. Pull through of the colon allograft was carried out in all patients. Fecal continence is normal in all but one of the surviving children. These results suggest that ITx with colon grafting should be the preferred therapeutic option in TIA. Early referral to a transplantation center after diagnosis of TIA is critical to prevent PN-related cirrhosis and thereby to permit ITx, which is associated with a good survival rate."
"3";"There is a growing need for clinically applicable body composition assessment tools for extremely obese individuals. The objective of this research was to evaluate several bioimpedance techniques for monitoring changes in fluid, particularly intracellular water (reflecting body cell mass) after bariatric surgery. Fifteen extremely obese women (body mass index: 48.9+/-7.0 kg/m(2); age: 48+/-9 years) were assessed before (baseline; T1), and approximately 6 weeks after gastric bypass surgery (T2) by several multifrequency bioelectrical impedance analysis approaches (MFBIA; QuadScan 4000), a bioimpedance spectroscopy device (BIS; Hydra 4200), and multiple dilution. BIS provided intracellular water estimates that were comparable to criterion, based on mean comparisons, at both time points (T1: criterion: 24.2+/-3.1L, BIS: 24.0+/-3.7 L; T2: criterion: 20.6+/-3.7 L, BIS: 19.7+/-3.2L). MFBIA (with Deurenberg equations) provided comparable measures to criterion only at T2 (criterion: 20.3+/-3.7L, MFBIA: 20.6+/-2.7 L). Both MFBIA (with QuadScan proprietary equations) and BIS produced estimates of intracellular water change that were comparable to dilution. There was substantial variability in individual volume measures. Although MFBIA and BIS hold promise as convenient techniques for assessing fluid changes, individual variability in measurements makes them impractical for assessment of extremely obese patients in the clinical setting."
"3";"To compare and describe the weight loss outcomes from gastric bypass and gastric band so as to define the variation of excess weight loss (EWL) among individual patients, the time to onset of effect, and the durability of weight loss in severely obese adults. Gastric bypass and gastric band are the most common operations for obesity performed in the United States, but few reports have compared these 2 procedures. Patients (N = 1733, aged 18-65 years) met National Institutes of Health criteria for obesity surgery and underwent either gastric bypass or gastric band between March 1997 and November 2006. The selection of bypass versus band was based on patient/surgeon discussion. The evaluable sample consisted of 1518 patients. The percentage of EWL was assessed over 2 years. Successful weight loss was defined a priori as > or = 40% EWL in each of four 6-month postoperative measurement periods. The analyses included a mixed model and generalized estimating equation (GEE) model with repeated measures. Odds ratios and descriptive analyses were also provided. Gastric bypass was associated with less individual variation in weight loss than gastric band. Both procedures were associated with a significant EWL benefit (Treatment Group effect P < 0.0001), but they differed in terms of time to effect (Treatment Group x Period interaction effect P < 0.0001). The mean EWL for gastric bypass was greater at each measurement period (6, 12, 18, 24 months) compared with gastric band (P < 0.0001). Furthermore, at each of the postoperative measurement periods within each treatment group (bypass and band), the mean EWL was greater for those who had preoperative body mass index (BMI) < or = 50 kg/m2 than for those who had preoperative BMI > 50 kg/m2 (P < 0.0001). Gastric bypass was consistently associated with a greater likelihood of at least a 40% EWL in each of the 6-month postoperative measurement periods (GEE, P < 0.0001). The odds ratio estimates at months 6, 12, 18, and 24 were 18.2, 20.6, 15.5, and 9.1, respectively. Despite these clinically meaningful outcome differences, nearly all (> or = 93%) bypass and band patients who had > or = 40% EWL at 6, 12, or 18 months postoperatively maintained at least this level of success at 2 years. Gastric bypass produced more rapid, greater, and more consistent EWL across individuals over a 2-year postoperative period than gastric band."
"3";"Many different remedial operations for alkaline reflux gastritis have been described. Analysis of their efficacy is difficult, because while many of the procedures have good early results, there are long-term failures due to their own complications. The aim of this study is to evaluate our experience with patients undergoing remedial operations for alkaline reflux gastritis syndrome. The clinical features and results of remedial operations of 65 patients with alkaline reflux gastritis syndrome were reviewed retrospectively. Data on the hospital course were collected by interviewing patients directly or by telephone contact. An assessment of each patient's response to remedial operation was then made and a Visick score assigned. All patients had been tried on a medical treatment and dietary restriction or both prior to remedial operation. Long-term follow up was possible in 46 patients. Seventy-six percent of patients who at the final state had a truncal vagotomy, distal gestrectomy and Roux-en-Y gastrojejunostomy have been found to show satisfactory results (Visick-I/Visick II). Three patients who had previously undergone a Roux-en-Y conversion later required re-operation for Roux-stasis syndrome and a near-total gastrectomy was performed on these patients. Other operations performed for alkaline reflux gastritis were converted to ""uncut"" Roux-en-Y in five patients and dismantling of gastrojejunostomy in two patients. For patients unresponsive to medical treatment, we reccommend the following strategy: a) for patients with truncal vagotomy plus gastrojejunostomy, dismantling of gastrojejunostomy should be the first choice b) for patients with prior Billroth-II gastrectomy, Roux-en-Y conversion is the most effective corrective operation, although it has its proper including Roux statis syndrome."
"3";"The primary objective of this study was to assess the validity of body mass index (BMI) in predicting percent body fat and changes in percent body fat with weight loss in bariatric surgery patients. Twenty-two bariatric patients (17 female, five male) began the study designed to include 12 months of testing, including data collection within 1 week presurgery and 1 month, 3 months, 6 months, and 1 year postsurgery. Five female subjects were lost to the study between 6 months and 12 months postsurgery, resulting in 17 subjects (12 female, five male) completing the 12 months of testing. Variables measured in the study included height, weight, percent fat (% fat) by hydrostatic weighing, lean mass, fat mass, and basal metabolic rate. Regression analyses predicting % fat from BMI yielded the following results: presurgery r = 0.173, p = 0.479, standard error of estimate (SEE) = 3.86; 1 month r = 0.468, p = 0.043, SEE = 4.70; 3 months r = 0.553, p = 0.014, SEE = 6.2; 6 months r = 0.611, p = 0.005, SEE = 5.88; 12 months r = 0.596, p = 0.007, SEE = 7.13. Regression analyses predicting change in % fat from change in BMI produced the following results: presurgery to 1 month r = -0.134, p = 0.583, SEE = 2.44%; 1-3 months r = 0.265, p = 0.272, SEE = 2.36%; 3-6 months r = 0.206, p = 0.398, SEE = 3.75%; 6-12 months r = 0.784, p = 0.000, SEE = 3.20. Although some analyses resulted in significant correlation coefficients (p < 0.05), the relatively large SEE values would preclude the use of BMI in predicting % fat or change in % fat with weight loss in bariatric surgery patients."
"3";"We report a rare case of acute early postoperative small bowel obstruction after laparoscopic Roux-en-Y gastric bypass due to an intraluminal blood clot at the site of the jejuno-jejunostomy. Patient was treated successfully with enterotomy and removal of the clot. A review of literature showed three similar publications."
"3";"Lipoinjection is a promising treatment, but its efficacy in recontouring facial lipoatrophy remains to be established. The objective was to evaluate the efficacy and adverse effects of lipoinjection and supplementation of adipose-derived stem/stromal cells (ASCs) to adipose grafts. To overcome drawbacks of autologous lipoinjection, we have developed a novel strategy called cell-assisted lipotransfer (CAL). In CAL, stromal vascular fraction containing ASCs was freshly isolated from half of an aspirated fat sample and attached to the other half of aspirated fat sample with the fat acting as a scaffold. This process converts relatively ASC-poor aspirated fat into ASC-rich fat. We performed conventional lipoinjection (non-CAL; n=3) or CAL (n=3) on six patients with facial lipoatrophy due to lupus profundus or Parry-Romberg syndrome. All patients obtained improvement in facial contour, but the CAL group had a better clinical improvement score than did the non-CAL patients, although the difference did not reach statistical significance (p=.11). Adipose necrosis was found in one non-CAL case who took perioperative oral corticosteroids. Our results suggest that CAL is both effective and safe and potentially superior to conventional lipoinjection for facial recontouring. The authors have indicated no significant interest with commercial supporters."
